DATE,DTCTLVENANM
2014-06-01,25839.92
2014-07-01,.
2014-08-01,.
2014-09-01,26370.63
2014-10-01,.
2014-11-01,.
2014-12-01,26755.30
2015-01-01,.
2015-02-01,.
2015-03-01,27272.36
2015-04-01,.
2015-05-01,.
2015-06-01,26932.27
2015-07-01,.
2015-08-01,.
2015-09-01,27697.60
2015-10-01,.
2015-11-01,.
2015-12-01,27986.15
2016-01-01,.
2016-02-01,.
2016-03-01,28140.06
2016-04-01,.
2016-05-01,.
2016-06-01,28126.64
2016-07-01,.
2016-08-01,.
2016-09-01,28667.30
2016-10-01,.
2016-11-01,.
2016-12-01,29468.55
2017-01-01,.
2017-02-01,.
2017-03-01,29133.85
2017-04-01,.
2017-05-01,.
2017-06-01,28569.47
2017-07-01,.
2017-08-01,.
2017-09-01,29153.73
2017-10-01,.
2017-11-01,.
2017-12-01,30294.94
2018-01-01,.
2018-02-01,.
2018-03-01,30471.66
2018-04-01,.
2018-05-01,.
2018-06-01,29805.2
2018-07-01,.
2018-08-01,.
2018-09-01,29921.27
2018-10-01,.
2018-11-01,.
2018-12-01,30493.73
2019-01-01,.
2019-02-01,.
2019-03-01,30865.42
2019-04-01,.
2019-05-01,.
2019-06-01,31170.6
2019-07-01,.
2019-08-01,.
2019-09-01,31514.06
2019-10-01,.
2019-11-01,.
2019-12-01,31692.14
2020-01-01,.
2020-02-01,.
2020-03-01,32723.94
2020-04-01,.
2020-05-01,.
2020-06-01,36674.9
2020-07-01,.
2020-08-01,.
2020-09-01,34660.26
2020-10-01,.
2020-11-01,.
2020-12-01,33738.23
2021-01-01,.
2021-02-01,.
2021-03-01,34207.35
2021-04-01,.
2021-05-01,.
2021-06-01,33914.94
2021-07-01,.
2021-08-01,.
2021-09-01,35283.89
2021-10-01,.
2021-11-01,.
2021-12-01,37820.76
2022-01-01,.
2022-02-01,.
2022-03-01,37991.37
2022-04-01,.
2022-05-01,.
2022-06-01,38044.46
2022-07-01,.
2022-08-01,.
2022-09-01,40155.68
2022-10-01,.
2022-11-01,.
2022-12-01,39407.02
2023-01-01,.
2023-02-01,.
2023-03-01,39066.36
2023-04-01,.
2023-05-01,.
2023-06-01,38689.2
2023-07-01,.
2023-08-01,.
2023-09-01,38587.53
2023-10-01,.
2023-11-01,.
2023-12-01,38519.27
2024-01-01,.
2024-02-01,.
2024-03-01,38803.96
2024-04-01,.
2024-05-01,.
2024-06-01,39266.13
