DATE,DTCTLVENANM
2014-07-01,26370.63
2014-10-01,26755.3
2015-01-01,27272.36
2015-04-01,26932.27
2015-07-01,27697.6
2015-10-01,27986.15
2016-01-01,28140.06
2016-04-01,28126.64
2016-07-01,28667.3
2016-10-01,29468.55
2017-01-01,29133.85
2017-04-01,28569.47
2017-07-01,29153.73
2017-10-01,30294.94
2018-01-01,30471.66
2018-04-01,29805.2
2018-07-01,29921.27
2018-10-01,30493.73
2019-01-01,30865.42
2019-04-01,31170.6
2019-07-01,31514.06
2019-10-01,31692.14
2020-01-01,32723.94
2020-04-01,36674.9
2020-07-01,34660.26
2020-10-01,33738.23
2021-01-01,34207.35
2021-04-01,33914.94
2021-07-01,35283.89
2021-10-01,37820.76
2022-01-01,37991.37
2022-04-01,38044.46
2022-07-01,40155.68
2022-10-01,39407.02
2023-01-01,39066.36
2023-04-01,38689.2
2023-07-01,38587.53
2023-10-01,38519.27
2024-01-01,38803.96
,
