DATE,QBPBSTASLNINDVOLNINDCARLN
2014-07-01,379531.304
2014-10-01,385156.262
2015-01-01,389633.848
2015-04-01,397633.22
2015-07-01,407873.676
2015-10-01,414814.82
2016-01-01,421831.359
2016-04-01,430643.614
2016-07-01,437916.362
2016-10-01,441837.209
2017-01-01,440235.844
2017-04-01,444064.267
2017-07-01,448811.724
2017-10-01,449976.876
2018-01-01,450217.833
2018-04-01,450425.771
2018-07-01,454601.746
2018-10-01,455458.479
2019-01-01,458905.354
2019-04-01,468250.533
2019-07-01,477852.156
2019-10-01,483679.935
2020-01-01,487210.896
2020-04-01,485522.435
2020-07-01,489172.999
2020-10-01,491713.643
2021-01-01,499181.933
2021-04-01,518108.262
2021-07-01,530202.623
2021-10-01,537846.341
2022-01-01,544462.434
2022-04-01,548902.962
2022-07-01,550526.095
2022-10-01,548396.255
2023-01-01,546780.834
2023-04-01,541590.468
2023-07-01,538903.732
2023-10-01,530382.518
,
