DATE,TOTALSA
2014-07-01,51.475
2014-10-01,50.883
2015-01-01,51.697
2015-04-01,53.511
2015-07-01,54.990
2015-10-01,54.087
2016-01-01,53.441
2016-04-01,53.099
2016-07-01,53.992
2016-10-01,54.023
2017-01-01,52.412
2017-04-01,51.377
2017-07-01,52.601
2017-10-01,54.372
2018-01-01,52.285
2018-04-01,53.156
2018-07-01,52.969
2018-10-01,54.129
2019-01-01,51.774
2019-04-01,52.716
2019-07-01,53.284
2019-10-01,52.089
2020-01-01,45.817
2020-04-01,34.922
2020-07-01,47.896
2020-10-01,49.937
2021-01-01,51.317
2021-04-01,52.066
2021-07-01,41.694
2021-10-01,39.831
2022-01-01,43.287
2022-04-01,41.636
2022-07-01,42.067
2022-10-01,43.759
2023-01-01,46.767
2023-04-01,48.822
2023-07-01,48.404
2023-10-01,48.130
